country,week,cumulative_cases,cumulative_deaths,population,std_cum_cases,std_cum_deaths,lethality,lethality_Q5
Chile,20,345790,9112,19116209.0,0.01808883759326967,0.0004766635476730768,0.02635125365105989,L4
Chile,21,359731,9608,19116209.0,0.01881811398902366,0.0005026101147983891,0.026708846332398374,L4
Chile,22,373056,10077,19116209.0,0.019515166422380086,0.0005271442679874446,0.02701203036541431,L4
Chile,23,385946,10452,19116209.0,0.020189463297874594,0.0005467611282132352,0.027081508812113613,L4
Chile,24,397665,10852,19116209.0,0.020802503257837366,0.0005676857791207451,0.02728930129631725,L4
Chile,25,409974,11244,19116209.0,0.021446407077888717,0.0005881919370101049,0.027426129461868315,L4
Chile,26,422510,11592,19116209.0,0.02210218563733008,0.0006063963832996385,0.02743603701687534,L4
Chile,27,434748,11949,19116209.0,0.022742375331845345,0.0006250716342345912,0.027484887797068647,L4
Chile,28,446274,12286,19116209.0,0.023345319147745246,0.0006427006526241683,0.027530172046769472,L4
Chile,29,457901,12641,19116209.0,0.023953546437999292,0.0006612712803045834,0.02760640400435902,L4
Chile,30,470179,12979,19116209.0,0.02459582859760531,0.0006789526103214293,0.027604380459356967,L4
Chile,31,481371,13318,19116209.0,0.02518130032999744,0.000696686251965544,0.027666810007250124,L4
Chile,32,491760,13635,19116209.0,0.02572476582569274,0.0007132690378097457,0.027726939970717422,L4
Chile,33,502063,13944,19116209.0,0.02626373252144293,0.0007294333306357971,0.027773406923035555,L4
Chile,34,511864,14247,19116209.0,0.026776438780304192,0.0007452837536982359,0.027833565165747153,L4
Chile,35,521558,14543,19116209.0,0.027283547695047695,0.0007607679953697933,0.027883763646612648,L4
Chile,36,531273,14819,19116209.0,0.027791755153963843,0.0007752060044959752,0.027893380615992155,L4
Chile,37,540640,15069,19116209.0,0.028281758166590457,0.0007882839113131689,0.027872521456052086,L4
Chile,38,550430,15356,19116209.0,0.028793888997551764,0.0008032973483393073,0.027898188688843268,L4
Chile,39,560382,15628,19116209.0,0.02931449431213061,0.000817526110956414,0.027888119175847905,L4
Chile,40,571919,15886,19116209.0,0.02991801355593047,0.0008310225107917579,0.027776660680970556,L4
Chile,41,587488,16197,19116209.0,0.030732453280878022,0.000847291426872347,0.02756992483250722,L4
Chile,42,602028,16443,19116209.0,0.03149306434136601,0.0008601600871804655,0.027312683131017163,L4
Chile,43,618191,16767,19116209.0,0.03233857717291122,0.0008771090544155486,0.027122685383643565,L4
Chile,44,645892,17162,19116209.0,0.03378766155988355,0.0008977721471867147,0.026571005678968,L4
Chile,45,673750,17547,19116209.0,0.035244958872337084,0.0009179121236851931,0.02604378478664193,L4
Chile,46,703178,17999,19116209.0,0.03678438543960259,0.0009415569792106793,0.025596648359305894,L4
Chile,47,730888,18537,19116209.0,0.03823394063122034,0.0009697006346812802,0.02536229901161327,L4
Chile,48,755350,19056,19116209.0,0.03951358765746912,0.0009968503692337743,0.025228039981465545,L4
Chile,49,779541,19624,19116209.0,0.040779058232728045,0.0010265633735224385,0.02517378816508689,L4
Chile,50,803009,20126,19116209.0,0.04200670750147166,0.0010528238104113635,0.025063230922692026,L4
Chile,51,829770,20660,19116209.0,0.043406618958811344,0.0010807582193728892,0.024898465839931546,L4
Chile,52,860533,21163,19116209.0,0.045015881548480664,0.001107070967889083,0.024592897657614524,L4
Chile,53,896231,21772,19116209.0,0.04688330201872139,0.001138928748895767,0.024292844143976273,L3
Chile,54,938094,22359,19116209.0,0.04907322367107411,0.0011696356741025377,0.02383449846177462,L3
Chile,55,984484,23070,19116209.0,0.05149996006007258,0.0012068292410906368,0.02343359567042227,L3
Chile,56,1032612,23677,19116209.0,0.05401761405726418,0.001238582398842783,0.022929231889615848,L3
Chile,57,1082920,24483,19116209.0,0.0566493074019017,0.0012807455704214156,0.022608318250655634,L3
Chile,58,1131340,25277,19116209.0,0.05918223639425579,0.001322281002472823,0.02234253186486821,L3
Chile,59,1175614,25975,19116209.0,0.06149828137995352,0.0013587945183064277,0.022094837251002454,L3
Chile,60,1215815,26659,19116209.0,0.06360126110778555,0.0013945756713582699,0.021926855648268857,L3
Chile,61,1252808,27318,19116209.0,0.06553642513533933,0.0014290490337283924,0.021805416312794937,L3
Chile,62,1286548,27832,19116209.0,0.0673014194393878,0.0014559372101445429,0.021633083258455962,L3
Chile,63,1335261,28548,19116209.0,0.06984967573853162,0.0014933923352689856,0.02138008973526524,L3
Chile,64,1384346,29300,19116209.0,0.07241739196301944,0.0015327306789751044,0.021165228923982878,L3
Chile,65,1434884,30058,19116209.0,0.07506111698192879,0.0015723828924448357,0.020948034823720943,L3
Chile,66,1482663,30804,19116209.0,0.07756051422120358,0.0016114073663873417,0.02077613051650982,L3
Chile,67,1517018,31513,19116209.0,0.07935768017602235,0.001648496310120903,0.020772990168870773,L3
Chile,68,1551137,32454,19116209.0,0.08114250058680568,0.0016977215513808203,0.02092271669104663,L3
Chile,69,1572608,33249,19116209.0,0.08226568353589354,0.0017393092950594964,0.021142586073579685,L3
Chile,70,1589623,33980,19116209.0,0.08315576587387175,0.0017775490945929708,0.02137613761250309,L3
Colombia,1,235,2,50882884.0,4.618448907102042e-06,3.9305948145549296e-08,0.00851063829787234,L2
Colombia,2,702,10,50882884.0,1.3796387799087803e-05,1.965297407277465e-07,0.014245014245014245,L2
Colombia,3,1485,35,50882884.0,2.9184666498070354e-05,6.878540925471127e-07,0.02356902356902357,L3
Colombia,4,2776,109,50882884.0,5.455665602602242e-05,2.1421741739324365e-06,0.03926512968299712,L5
Colombia,5,3792,179,50882884.0,7.452407768396147e-05,3.517882359026662e-06,0.04720464135021097,L5
Colombia,6,5379,243,50882884.0,0.00010571334753745484,4.775672699684239e-06,0.04517568321249303,L5
Colombia,7,7668,340,50882884.0,0.000150699005190036,6.68201118474338e-06,0.04434011476264997,L5
Colombia,8,11063,463,50882884.0,0.00021742085216710594,9.099326995694662e-06,0.04185121576425924,L5
Colombia,9,15574,574,50882884.0,0.00030607541820939235,1.1280807117772648e-05,0.0368562989598048,L4
Colombia,10,21175,727,50882884.0,0.0004161517259910032,1.428771215090717e-05,0.034332939787485243,L4
Colombia,11,29383,939,50882884.0,0.0005774633371803375,1.8454142654335396e-05,0.03195725419460232,L4
Colombia,12,39236,1259,50882884.0,0.0007711040907193861,2.4743094357623284e-05,0.0320878784789479,L4
Colombia,13,50939,1667,50882884.0,0.0010011028462930678,3.276150777931534e-05,0.03272541667484639,L4
Colombia,14,68652,2237,50882884.0,0.0013492159760441253,4.396370300079689e-05,0.03258462972673775,L4
Colombia,15,91769,3106,50882884.0,0.0018035337776844567,6.104213747003805e-05,0.03384585208512678,L4
Colombia,16,117110,4064,50882884.0,0.002301559793662639,7.986968663175618e-05,0.03470241653146614,L4
Colombia,17,150445,5307,50882884.0,0.002956691684378582,0.00010429833340421505,0.03527534979560637,L4
Colombia,18,197278,6736,50882884.0,0.0038770994191288373,0.00013238243335421003,0.03414470949624388,L4
Colombia,19,248976,8525,50882884.0,0.004893118872743141,0.00016754160397040388,0.03424024805603753,L4
Colombia,20,317651,10650,50882884.0,0.00624278686719094,0.00020930417387505002,0.03352736179014075,L4
Colombia,21,387481,12842,50882884.0,0.007615154046692794,0.00025238349304257206,0.033142270201635696,L4
Colombia,22,468332,15097,50882884.0,0.009204116653450696,0.00029670094957667885,0.03223567896278708,L4
Colombia,23,541147,17316,50882884.0,0.010635147960559782,0.0003403108990441658,0.031998699059590095,L4
Colombia,24,607938,19364,50882884.0,0.011947789751854475,0.00038056018994520827,0.03185193226940905,L4
Colombia,25,666521,21412,50882884.0,0.013099119931959832,0.0004208094808462508,0.0321250193167207,L4
Colombia,26,716319,22924,50882884.0,0.014077798734835863,0.00045052477764428604,0.03200250167872135,L4
Colombia,27,765076,24208,50882884.0,0.015036018791702138,0.0004757591963537287,0.031641300994933834,L4
Colombia,28,813056,25488,50882884.0,0.015978968487713865,0.0005009150031668803,0.03134839420654912,L4
Colombia,29,855052,26712,50882884.0,0.01680431478687411,0.0005249702434319564,0.031240205274065205,L4
Colombia,30,911316,27834,50882884.0,0.017910069720104702,0.0005470208803416096,0.030542643824973993,L4
Colombia,31,959572,28970,50882884.0,0.018858443636960515,0.0005693466588882816,0.03019054328388073,L4
Colombia,32,1015885,30154,50882884.0,0.019965161565920674,0.0005926157801904468,0.029682493589333437,L4
Colombia,33,1083321,31515,50882884.0,0.021290479525492303,0.0006193634779034931,0.029091100421758647,L4
Colombia,34,1143887,32791,50882884.0,0.022480781553183976,0.0006444406728203535,0.0286662930866423,L4
Colombia,35,1198746,34031,50882884.0,0.02355892405784232,0.000668810360670594,0.028388832997148686,L4
Colombia,36,1248417,35287,50882884.0,0.024535106933011107,0.0006934944961059991,0.02826539529660362,L4
Colombia,37,1308376,36584,50882884.0,0.025713479605440605,0.0007189844034783877,0.027961381132029325,L4
Colombia,38,1371103,37808,50882884.0,0.02694625171010354,0.0007430396437434639,0.027574879494830076,L4
Colombia,39,1425774,39053,50882884.0,0.028020699455636202,0.0007675075964640683,0.0273907365402932,L4
Colombia,40,1518067,40680,50882884.0,0.02983453139173479,0.0007994829852804727,0.026797236222116678,L4
Colombia,41,1603807,42374,50882884.0,0.03151957738873449,0.000832775123359753,0.02642088480721184,L4
Colombia,42,1675820,43965,50882884.0,0.03293484701063721,0.0008640430051095375,0.02623491783127066,L4
Colombia,43,1801903,46451,50882884.0,0.03541275294065486,0.0009129002986544552,0.025778857130489267,L4
Colombia,44,1923132,49004,50882884.0,0.03779526333452326,0.0009630743414622488,0.025481350214129866,L4
Colombia,45,2027746,51747,50882884.0,0.039851239564172504,0.0010169824493438697,0.0255194684146831,L4
Colombia,46,2104506,54272,50882884.0,0.041359801853998686,0.0010666062088776258,0.025788474824970802,L4
